time,open,high,low,close,volume
2024-09-11,18.71,19.01,18.64,18.86,14222396
2024-09-12,18.9,19.01,18.67,18.67,9046522
2024-09-13,18.71,18.82,18.6,18.6,12436961
2024-09-16,18.6,18.78,18.49,18.49,14586621
2024-09-17,18.52,18.78,18.45,18.78,13183955
2024-09-18,18.78,18.86,18.67,18.67,13246366
2024-09-19,18.82,18.97,18.75,18.78,13688336
2024-09-20,18.97,19.38,18.93,19.08,44610751
2024-09-23,19.19,19.42,19.12,19.12,15527107
2024-09-24,19.12,19.23,19.08,19.23,10658205
2024-09-25,19.42,19.64,19.38,19.49,41032922
2024-09-26,19.57,19.68,19.38,19.38,21761557
2024-09-27,19.45,19.57,19.27,19.38,30557451
2024-09-30,19.49,19.79,19.45,19.6,37445314
2024-10-01,19.94,20.09,19.83,19.9,37876498
2024-10-02,19.86,19.86,19.57,19.57,21303476
2024-10-03,19.68,19.83,19.42,19.49,26814467
2024-10-04,19.49,19.71,19.42,19.49,17564765
2024-10-07,19.64,19.71,19.49,19.64,12476892
2024-10-08,19.64,20.16,19.6,20.05,38191818
2024-10-09,20.2,20.46,20.12,20.46,41639882
2024-10-10,20.53,20.61,20.27,20.27,23844140
2024-10-11,20.35,20.42,20.09,20.31,15775481
2024-10-14,20.35,20.42,20.12,20.12,17989883
2024-10-15,20.38,20.42,20.2,20.2,20172673
2024-10-16,20.2,20.31,20.16,20.16,11638271
2024-10-17,20.2,20.27,19.9,20.27,20575549
2024-10-18,20.27,20.31,20.05,20.05,16254444
2024-10-21,20.05,20.12,19.86,19.9,13909844
2024-10-22,19.83,19.97,19.71,19.83,18330635
2024-10-23,19.83,19.86,19.6,19.68,13617216
2024-10-24,19.71,19.86,19.6,19.68,15908431
2024-10-25,19.79,19.83,19.68,19.68,9453996
2024-10-28,19.71,20.05,19.71,19.9,11941974
2024-10-29,19.94,20.2,19.86,20.12,15745226
2024-10-30,20.12,20.16,19.94,20.09,11074326
2024-10-31,20.12,20.12,19.94,20.01,13332393
2024-11-01,19.94,19.97,19.68,19.75,13212705
2024-11-04,19.75,19.75,19.45,19.57,18321430
2024-11-05,19.57,19.75,19.49,19.71,8102496
2024-11-06,19.83,20.2,19.75,20.05,21004956
2024-11-07,20.16,20.31,20.05,20.05,15996565
2024-11-08,20.23,20.46,20.09,20.09,24778767
2024-11-11,20.12,20.61,20.05,20.61,40900657
2024-11-12,20.64,20.76,20.31,20.46,23977950
2024-11-13,20.23,20.38,19.97,20.12,22299796
2024-11-14,20.12,20.16,19.57,19.57,26584281
2024-11-15,19.57,19.6,19.27,19.27,27622921
2024-11-18,19.34,19.38,18.97,19.19,20617517
2024-11-19,19.23,19.34,18.93,18.93,15855294
2024-11-20,18.9,19.34,18.78,19.04,22767490
2024-11-21,19.08,19.3,19.01,19.23,12784099
2024-11-22,19.27,19.53,19.23,19.42,17276669
2024-11-25,19.42,19.57,19.38,19.57,12839515
2024-11-26,19.57,19.71,19.49,19.6,13190635
2024-11-27,19.6,19.68,19.42,19.57,7974789
2024-11-28,19.68,19.9,19.57,19.64,14139732
2024-11-29,19.68,19.9,19.57,19.9,13886852
2024-12-02,20.05,20.2,19.9,20.01,18590525
2024-12-03,19.97,20.09,19.79,20.09,15823157
2024-12-04,19.97,19.97,19.83,19.86,12517041
2024-12-05,19.86,20.72,19.64,20.72,44772623
2024-12-06,20.72,20.76,20.46,20.53,23768664
2024-12-09,20.57,20.76,20.46,20.57,15967778
2024-12-10,20.61,20.98,20.53,20.76,32715496
2024-12-11,20.76,20.94,20.53,20.64,17045103
2024-12-12,20.64,20.76,20.35,20.46,20976380
2024-12-13,20.31,20.38,20.16,20.23,17278081
2024-12-16,20.23,20.35,19.97,20.09,16666364
2024-12-17,20.09,20.16,19.97,20.09,10816933
2024-12-18,20.09,20.35,20.05,20.35,12801871
2024-12-19,20.09,20.2,19.94,19.97,30343905
2024-12-20,19.97,20.05,19.86,19.86,13753770
2024-12-23,19.9,20.12,19.9,20.09,12907390
2024-12-24,20.01,20.01,19.79,19.86,13471873
2024-12-25,19.9,20.2,19.9,20.2,17153771
2024-12-26,20.2,20.23,19.97,20.09,9982189
2024-12-27,20.09,20.09,19.94,19.97,11397592
